"Overseas Shipholding Group, Inc.",Energy,Oil & Gas Midstream,3.23,2.87%,09/05/2022,Monday,yes
"Alaunos Therapeutics, Inc.",Healthcare,Biotechnology,2.90,-3.65%,09/05/2022,Monday,yes
American Resources Corporation,Energy,Thermal Coal,3.26,-3.55%,09/06/2022,Tuesday,no
CleanTech Acquisition Corp.,Financial,Shell Companies,9.45,-10.93%,09/06/2022,Tuesday,no
IG Acquisition Corp.,Financial,Shell Companies,9.99,0.00%,09/06/2022,Tuesday,no
"Overseas Shipholding Group, Inc.",Energy,Oil & Gas Midstream,3.32,2.79%,09/06/2022,Tuesday,yes
"Alaunos Therapeutics, Inc.",Healthcare,Biotechnology,2.91,0.34%,09/06/2022,Tuesday,yes
"Capricor Therapeutics, Inc.",Healthcare,Biotechnology,6.07,5.57%,09/07/2022,Wednesday,no
DallasNews Corporation,Communication Services,Publishing,8.35,1.95%,09/07/2022,Wednesday,no
"Globalstar, Inc.",Communication Services,Telecom Services,2.06,-1.44%,09/07/2022,Wednesday,no
Jaws Mustang Acquisition Corporation,Financial,Shell Companies,9.91,0.15%,09/07/2022,Wednesday,no
"Alaunos Therapeutics, Inc.",Healthcare,Biotechnology,3.44,18.21%,09/07/2022,Wednesday,yes
"ADMA Biologics, Inc.",Healthcare,Biotechnology,2.86,2.51%,09/08/2022,Thursday,no
Jaws Mustang Acquisition Corporation,Financial,Shell Companies,9.91,-0.05%,09/08/2022,Thursday,yes
"Alaunos Therapeutics, Inc.",Healthcare,Biotechnology,3.52,2.33%,09/08/2022,Thursday,yes
Monterey Bio Acquisition Corporation,Financial,Shell Companies,10.08,0.20%,09/09/2022,Friday,no
Mudrick Capital Acquisition Corporation II,Financial,Shell Companies,10.16,0.10%,09/09/2022,Friday,no
"Overseas Shipholding Group, Inc.",Energy,Oil & Gas Midstream,3.30,2.80%,09/09/2022,Friday,no
"Alaunos Therapeutics, Inc.",Healthcare,Biotechnology,3.69,4.83%,09/09/2022,Friday,yes
Bowlero Corp.,Communication Services,Entertainment,12.90,7.68%,09/12/2022,Monday,no
Geron Corporation,Healthcare,Biotechnology,2.78,4.91%,09/12/2022,Monday,no
FTAC Hera Acquisition Corp.,Financial,Shell Companies,9.89,0.00%,09/12/2022,Monday,no
"Infrastructure and Energy Alternatives, Inc.",Industrials,Engineering & Construction,14.44,0.07%,09/12/2022,Monday,no
"GEE Group, Inc.",Industrials,Staffing & Employment Services,0.76,2.69%,09/12/2022,Monday,no
Lazard Growth Acquisition Corp. I,Financial,Shell Companies,9.91,0.15%,09/12/2022,Monday,no
LSI Industries Inc.,Technology,Electronic Components,8.81,8.10%,09/12/2022,Monday,no
"Overseas Shipholding Group, Inc.",Energy,Oil & Gas Midstream,3.33,0.91%,09/12/2022,Monday,yes
PG&E Corporation,Utilities,Utilities - Regulated Electric,13.18,2.25%,09/12/2022,Monday,no
Ares Acquisition Corporation,Financial,Shell Companies,9.93,0.20%,09/13/2022,Tuesday,no
Delwinds Insurance Acquisition Corp.,Financial,Shell Companies,8.61,-11.15%,09/13/2022,Tuesday,no
Geron Corporation,Healthcare,Biotechnology,2.94,5.76%,09/13/2022,Tuesday,yes
"Altus Power, Inc.",Utilities,Utilities - Renewable,12.64,9.15%,09/14/2022,Wednesday,no
Bowlero Corp.,Communication Services,Entertainment,12.99,3.10%,09/14/2022,Wednesday,no
"ECB Bancorp, Inc.",Financial,Banks - Regional,14.38,1.13%,09/14/2022,Wednesday,no
Evolution Petroleum Corporation,Energy,Oil & Gas E&P,8.11,19.44%,09/14/2022,Wednesday,no
Geron Corporation,Healthcare,Biotechnology,2.86,-2.72%,09/14/2022,Wednesday,yes
FTAC Hera Acquisition Corp.,Financial,Shell Companies,9.90,0.05%,09/14/2022,Wednesday,no
"Plains GP Holdings, L.P.",Energy,Oil & Gas Midstream,12.90,3.61%,09/14/2022,Wednesday,no
Recharge Acquisition Corp.,Financial,Shell Companies,10.10,0.15%,09/14/2022,Wednesday,no
"Altus Power, Inc.",Utilities,Utilities - Renewable,12.40,-1.90%,09/15/2022,Thursday,yes
Jaws Mustang Acquisition Corporation,Financial,Shell Companies,9.93,0.05%,09/15/2022,Thursday,no
"Plains GP Holdings, L.P.",Energy,Oil & Gas Midstream,12.90,0.00%,09/15/2022,Thursday,yes
"Anixa Biosciences, Inc.",Healthcare,Diagnostics & Research,5.71,27.46%,09/16/2022,Friday,no
Bowlero Corp.,Communication Services,Entertainment,13.43,7.53%,09/16/2022,Friday,no
"ECB Bancorp, Inc.",Financial,Banks - Regional,14.52,0.83%,09/16/2022,Friday,no
"Eve Holding, Inc.",Industrials,Aerospace & Defense,11.10,4.42%,09/16/2022,Friday,no
Senior Connect Acquisition Corp. I,Financial,Shell Companies,9.94,0.05%,09/16/2022,Friday,no
"Supernova Partners Acquisition Company III, Ltd.",Financial,Shell Companies,9.90,0.10%,09/16/2022,Friday,no
"Anixa Biosciences, Inc.",Healthcare,Diagnostics & Research,5.87,2.80%,09/19/2022,Monday,yes
Bowlero Corp.,Communication Services,Entertainment,13.90,3.50%,09/19/2022,Monday,yes
Evolution Petroleum Corporation,Energy,Oil & Gas E&P,8.53,5.96%,09/19/2022,Monday,no
PG&E Corporation,Utilities,Utilities - Regulated Electric,13.46,2.91%,09/19/2022,Monday,no
Pono Capital Corp.,Financial,Shell Companies,10.20,0.20%,09/19/2022,Monday,no
Prospector Capital Corp.,Financial,Shell Companies,9.94,0.00%,09/19/2022,Monday,no
"Anixa Biosciences, Inc.",Healthcare,Diagnostics & Research,6.15,4.77%,09/20/2022,Tuesday,yes
Bowlero Corp.,Communication Services,Entertainment,13.95,0.36%,09/20/2022,Tuesday,yes
"Broadwind, Inc.",Industrials,Specialty Industrial Machinery,3.55,5.65%,09/20/2022,Tuesday,no
FTAC Hera Acquisition Corp.,Financial,Shell Companies,9.91,0.05%,09/20/2022,Tuesday,no
H.I.G. Acquisition Corp.,Financial,Shell Companies,10.00,0.00%,09/20/2022,Tuesday,no
PG&E Corporation,Utilities,Utilities - Regulated Electric,13.30,-1.19%,09/20/2022,Tuesday,yes
"Satsuma Pharmaceuticals, Inc.",Healthcare,Biotechnology,7.49,7.77%,09/20/2022,Tuesday,no
Agile Growth Corp.,Financial,Shell Companies,9.91,0.10%,09/21/2022,Wednesday,no
"Eve Holding, Inc.",Industrials,Aerospace & Defense,12.38,5.54%,09/21/2022,Wednesday,no
"Stabilis Solutions, Inc.",Energy,Oil & Gas Integrated,8.84,73.67%,09/21/2022,Wednesday,no
Ares Acquisition Corporation,Financial,Shell Companies,9.94,0.00%,09/22/2022,Thursday,no
"Eve Holding, Inc.",Industrials,Aerospace & Defense,12.30,-0.65%,09/22/2022,Thursday,yes
Jaws Mustang Acquisition Corporation,Financial,Shell Companies,9.94,0.10%,09/22/2022,Thursday,no
"Satsuma Pharmaceuticals, Inc.",Healthcare,Biotechnology,7.95,0.63%,09/22/2022,Thursday,no
H.I.G. Acquisition Corp.,Financial,Shell Companies,10.01,0.05%,09/23/2022,Friday,no
IG Acquisition Corp.,Financial,Shell Companies,10.02,0.15%,09/23/2022,Friday,no
"Altus Power, Inc.",Utilities,Utilities - Renewable,13.90,17.10%,09/27/2022,Tuesday,no
CONX Corp.,Financial,Shell Companies,9.99,0.10%,09/27/2022,Tuesday,no
Crucible Acquisition Corporation,Financial,Shell Companies,9.94,0.10%,09/27/2022,Tuesday,no
Liberty Resources Acquisition Corp.,Financial,Shell Companies,10.09,0.11%,09/27/2022,Tuesday,no
"Altus Power, Inc.",Utilities,Utilities - Renewable,14.23,2.37%,09/28/2022,Wednesday,yes
Crucible Acquisition Corporation,Financial,Shell Companies,9.95,0.10%,09/28/2022,Wednesday,yes
Accretion Acquisition Corp.,Financial,Shell Companies,9.94,0.30%,09/28/2022,Wednesday,no
"GigCapital5, Inc.",Financial,Shell Companies,10.12,0.10%,09/28/2022,Wednesday,no
Harmonic Inc.,Technology,Communication Equipment,13.00,10.17%,09/28/2022,Wednesday,no
H.I.G. Acquisition Corp.,Financial,Shell Companies,10.02,0.20%,09/29/2022,Thursday,no
Natural Order Acquisition Corp.,Financial,Shell Companies,9.98,0.05%,09/29/2022,Thursday,no
Harmonic Inc.,Technology,Communication Equipment,13.07,3.08%,09/30/2022,Friday,no
"Harrow Health, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,12.07,4.77%,09/30/2022,Friday,no
Lefteris Acquisition Corp.,Financial,Shell Companies,10.00,0.10%,09/30/2022,Friday,no
Lazard Growth Acquisition Corp. I,Financial,Shell Companies,9.92,0.10%,09/30/2022,Friday,no
Recharge Acquisition Corp.,Financial,Shell Companies,10.12,0.10%,09/30/2022,Friday,no
Carney Technology Acquisition Corp. II,Financial,Shell Companies,9.96,0.00%,10/03/2022,Monday,no
Fortress Value Acquisition Corp. III,Financial,Shell Companies,9.90,0.05%,10/03/2022,Monday,no
Health Assurance Acquisition Corp.,Financial,Shell Companies,9.99,0.05%,10/03/2022,Monday,no
"Harrow Health, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,12.82,6.21%,10/03/2022,Monday,yes
Lefteris Acquisition Corp.,Financial,Shell Companies,10.01,0.10%,10/03/2022,Monday,yes
NightDragon Acquisition Corp.,Financial,Shell Companies,9.95,1.32%,10/03/2022,Monday,no
Quest Resource Holding Corporation,Industrials,Waste Management,9.40,11.37%,10/03/2022,Monday,no
